"date","home.team","home.score","away.team","away.score"
2011-01-29,"Malaga",1,"Zaragoza",2
2011-01-29,"Mallorca",0,"Sp Gijon",4
2011-01-29,"Sociedad",2,"Almeria",0
2011-01-30,"Ath Madrid",0,"Ath Bilbao",2
2011-01-30,"Espanol",0,"Villarreal",1
2011-01-30,"Osasuna",1,"Real Madrid",0
2011-01-31,"Santander",1,"Valencia",1
2011-02-05,"Almeria",3,"Espanol",2
2011-02-05,"Ath Bilbao",3,"Sp Gijon",0
2011-02-05,"Barcelona",3,"Ath Madrid",0
2011-02-05,"Getafe",4,"La Coruna",1
2011-02-05,"Osasuna",1,"Mallorca",1
2011-02-05,"Villarreal",0,"Levante",1
2011-02-05,"Zaragoza",1,"Santander",1
2011-02-06,"Real Madrid",4,"Sociedad",1
2011-02-06,"Sevilla",0,"Malaga",0
2011-02-06,"Valencia",2,"Hercules",0
2011-02-12,"Ath Madrid",1,"Valencia",2
2011-02-12,"Santander",3,"Sevilla",2
2011-02-12,"Sp Gijon",1,"Barcelona",1
2011-02-13,"Espanol",0,"Real Madrid",1
2011-02-13,"Hercules",2,"Zaragoza",1
2011-02-13,"La Coruna",1,"Villarreal",0
2011-02-13,"Levante",1,"Almeria",0
2011-02-13,"Malaga",2,"Getafe",2
2011-02-13,"Sociedad",1,"Osasuna",0
2011-02-14,"Mallorca",1,"Ath Bilbao",0
2011-02-19,"Real Madrid",2,"Levante",0
2011-02-19,"Valencia",0,"Sp Gijon",0
2011-02-19,"Zaragoza",0,"Ath Madrid",1
2011-02-20,"Almeria",1,"La Coruna",1
2011-02-20,"Barcelona",2,"Ath Bilbao",1
2011-02-20,"Getafe",0,"Santander",1
2011-02-20,"Osasuna",4,"Espanol",0
2011-02-20,"Sevilla",1,"Hercules",0
2011-02-20,"Villarreal",1,"Malaga",1
2011-02-21,"Sociedad",1,"Mallorca",0
2011-02-26,"Ath Madrid",2,"Sevilla",2
2011-02-26,"Espanol",4,"Sociedad",1
2011-02-26,"La Coruna",0,"Real Madrid",0
2011-02-26,"Mallorca",0,"Barcelona",3
2011-02-26,"Sp Gijon",0,"Zaragoza",0
2011-02-27,"Ath Bilbao",1,"Valencia",2
2011-02-27,"Hercules",0,"Getafe",0
2011-02-27,"Levante",2,"Osasuna",1
2011-02-27,"Santander",2,"Villarreal",2
2011-02-28,"Malaga",3,"Almeria",1
2011-03-01,"Espanol",1,"Mallorca",2
2011-03-01,"Sevilla",3,"Sp Gijon",0
2011-03-02,"Getafe",1,"Ath Madrid",1
2011-03-02,"Osasuna",0,"La Coruna",0
2011-03-02,"Sociedad",1,"Levante",1
2011-03-02,"Valencia",0,"Barcelona",1
2011-03-02,"Villarreal",1,"Hercules",0
2011-03-02,"Zaragoza",2,"Ath Bilbao",1
2011-03-03,"Almeria",1,"Santander",1
2011-03-03,"Real Madrid",7,"Malaga",0
2011-03-05,"Ath Madrid",3,"Villarreal",1
2011-03-05,"Barcelona",1,"Zaragoza",0
2011-03-05,"Mallorca",1,"Valencia",2
2011-03-06,"Ath Bilbao",2,"Sevilla",0
2011-03-06,"Hercules",1,"Almeria",2
2011-03-06,"Levante",1,"Espanol",0
2011-03-06,"Malaga",0,"Osasuna",1
2011-03-06,"Santander",1,"Real Madrid",3
2011-03-06,"Sp Gijon",2,"Getafe",0
2011-03-07,"La Coruna",2,"Sociedad",1
2011-03-12,"Almeria",2,"Ath Madrid",2
2011-03-12,"Real Madrid",2,"Hercules",0
2011-03-12,"Zaragoza",4,"Valencia",0
2011-03-13,"Espanol",2,"La Coruna",0
2011-03-13,"Levante",1,"Mallorca",1
2011-03-13,"Osasuna",3,"Santander",1
2011-03-13,"Sevilla",1,"Barcelona",1
2011-03-13,"Sociedad",0,"Malaga",2
2011-03-13,"Villarreal",1,"Sp Gijon",1
2011-03-14,"Getafe",2,"Ath Bilbao",2
2011-03-19,"Ath Madrid",1,"Real Madrid",2
2011-03-19,"Barcelona",2,"Getafe",1
2011-03-19,"Mallorca",1,"Zaragoza",0
2011-03-20,"Ath Bilbao",0,"Villarreal",1
2011-03-20,"Hercules",0,"Osasuna",4
2011-03-20,"La Coruna",0,"Levante",1
2011-03-20,"Malaga",2,"Espanol",0
2011-03-20,"Santander",2,"Sociedad",1
2011-03-20,"Sp Gijon",1,"Almeria",0
2011-03-20,"Valencia",0,"Sevilla",1
2011-04-02,"Getafe",2,"Valencia",4
2011-04-02,"Real Madrid",0,"Sp Gijon",1
2011-04-02,"Villarreal",0,"Barcelona",1
2011-04-03,"Espanol",1,"Santander",2
2011-04-03,"La Coruna",2,"Mallorca",1
2011-04-03,"Levante",3,"Malaga",1
2011-04-03,"Osasuna",2,"Ath Madrid",3
2011-04-03,"Sevilla",3,"Zaragoza",1
2011-04-03,"Sociedad",1,"Hercules",3
2011-04-04,"Almeria",1,"Ath Bilbao",3
2011-04-09,"Ath Bilbao",0,"Real Madrid",3
2011-04-09,"Barcelona",3,"Almeria",1
2011-04-09,"Mallorca",2,"Sevilla",2
2011-04-10,"Ath Madrid",3,"Sociedad",0
2011-04-10,"Hercules",0,"Espanol",0
2011-04-10,"Malaga",0,"La Coruna",0
2011-04-10,"Santander",1,"Levante",1
2011-04-10,"Sp Gijon",1,"Osasuna",0
2011-04-10,"Valencia",5,"Villarreal",0
2011-04-11,"Zaragoza",2,"Getafe",1
2011-04-16,"Almeria",0,"Valencia",3
2011-04-16,"Getafe",1,"Sevilla",0
2011-04-16,"Malaga",3,"Mallorca",0
2011-04-16,"Real Madrid",1,"Barcelona",1
2011-04-17,"Espanol",2,"Ath Madrid",2
2011-04-17,"La Coruna",2,"Santander",0
2011-04-17,"Levante",2,"Hercules",1
2011-04-17,"Osasuna",1,"Ath Bilbao",2
2011-04-17,"Sociedad",2,"Sp Gijon",1
2011-04-18,"Villarreal",1,"Zaragoza",0
2011-04-23,"Ath Bilbao",2,"Sociedad",1
2011-04-23,"Barcelona",2,"Osasuna",0
2011-04-23,"Valencia",3,"Real Madrid",6
2011-04-24,"Ath Madrid",4,"Levante",1
2011-04-24,"Hercules",1,"La Coruna",0
2011-04-24,"Mallorca",2,"Getafe",0
2011-04-24,"Santander",1,"Malaga",2
2011-04-24,"Sevilla",3,"Villarreal",2
2011-04-24,"Sp Gijon",1,"Espanol",0
2011-04-25,"Zaragoza",1,"Almeria",0
2011-04-30,"La Coruna",0,"Ath Madrid",1
2011-04-30,"Real Madrid",2,"Zaragoza",3
2011-04-30,"Sociedad",2,"Barcelona",1
2011-05-01,"Almeria",0,"Sevilla",1
2011-05-01,"Levante",0,"Sp Gijon",0
2011-05-01,"Malaga",3,"Hercules",1
2011-05-01,"Osasuna",1,"Valencia",0
2011-05-01,"Santander",2,"Mallorca",0
2011-05-01,"Villarreal",2,"Getafe",1
2011-05-02,"Espanol",2,"Ath Bilbao",1
2011-05-07,"Ath Bilbao",3,"Levante",2
2011-05-07,"Ath Madrid",0,"Malaga",3
2011-05-07,"Getafe",2,"Almeria",0
2011-05-07,"Hercules",2,"Santander",3
2011-05-07,"Sevilla",2,"Real Madrid",6
2011-05-07,"Sp Gijon",2,"La Coruna",2
2011-05-07,"Valencia",3,"Sociedad",0
2011-05-08,"Barcelona",2,"Espanol",0
2011-05-08,"Mallorca",0,"Villarreal",0
2011-05-08,"Zaragoza",1,"Osasuna",3
2011-05-10,"La Coruna",2,"Ath Bilbao",1
2011-05-10,"Malaga",2,"Sp Gijon",0
2011-05-10,"Real Madrid",4,"Getafe",0
2011-05-10,"Santander",2,"Ath Madrid",1
2011-05-11,"Almeria",0,"Villarreal",0
2011-05-11,"Espanol",2,"Valencia",2
2011-05-11,"Hercules",2,"Mallorca",2
2011-05-11,"Levante",1,"Barcelona",1
2011-05-11,"Osasuna",3,"Sevilla",2
2011-05-11,"Sociedad",2,"Zaragoza",1
2011-05-15,"Almeria",3,"Mallorca",1
2011-05-15,"Ath Bilbao",1,"Malaga",1
2011-05-15,"Ath Madrid",2,"Hercules",1
2011-05-15,"Barcelona",0,"La Coruna",0
2011-05-15,"Getafe",2,"Osasuna",0
2011-05-15,"Sevilla",3,"Sociedad",1
2011-05-15,"Sp Gijon",2,"Santander",1
2011-05-15,"Valencia",0,"Levante",0
2011-05-15,"Villarreal",1,"Real Madrid",3
2011-05-15,"Zaragoza",1,"Espanol",0
2011-05-21,"Espanol",2,"Sevilla",3
2011-05-21,"Hercules",0,"Sp Gijon",0
2011-05-21,"La Coruna",0,"Valencia",2
2011-05-21,"Levante",1,"Zaragoza",2
2011-05-21,"Malaga",1,"Barcelona",3
2011-05-21,"Mallorca",3,"Ath Madrid",4
2011-05-21,"Osasuna",1,"Villarreal",0
2011-05-21,"Real Madrid",8,"Almeria",1
2011-05-21,"Santander",1,"Ath Bilbao",2
2011-05-21,"Sociedad",1,"Getafe",1
2011-08-27,"Granada",0,"Betis",1
2011-08-27,"Sp Gijon",1,"Sociedad",2
2011-08-27,"Valencia",4,"Santander",3
2011-08-28,"Ath Bilbao",1,"Vallecano",1
2011-08-28,"Ath Madrid",0,"Osasuna",0
2011-08-28,"Getafe",1,"Levante",1
2011-08-28,"Mallorca",1,"Espanol",0
2011-08-28,"Sevilla",2,"Malaga",1
2011-08-28,"Zaragoza",0,"Real Madrid",6
2011-08-29,"Barcelona",5,"Villarreal",0
2011-09-10,"Real Madrid",4,"Getafe",2
2011-09-10,"Sociedad",2,"Barcelona",2
2011-09-10,"Valencia",1,"Ath Madrid",0
2011-09-10,"Villarreal",2,"Sevilla",2
2011-09-11,"Betis",1,"Mallorca",0
2011-09-11,"Espanol",2,"Ath Bilbao",1
2011-09-11,"Osasuna",2,"Sp Gijon",1
2011-09-11,"Santander",0,"Levante",0
2011-09-11,"Vallecano",0,"Zaragoza",0
2011-09-12,"Malaga",4,"Granada",0
2011-09-17,"Barcelona",8,"Osasuna",0
2011-09-17,"Granada",1,"Villarreal",0
2011-09-17,"Mallorca",0,"Malaga",1
2011-09-17,"Sevilla",1,"Sociedad",0
2011-09-17,"Sp Gijon",0,"Valencia",1
2011-09-18,"Ath Bilbao",2,"Betis",3
2011-09-18,"Ath Madrid",4,"Santander",0
2011-09-18,"Getafe",0,"Vallecano",1
2011-09-18,"Levante",1,"Real Madrid",0
2011-09-18,"Zaragoza",2,"Espanol",1
2011-09-20,"Osasuna",0,"Sevilla",0
2011-09-20,"Sociedad",1,"Granada",0
2011-09-20,"Villarreal",2,"Mallorca",0
2011-09-21,"Ath Madrid",4,"Sp Gijon",0
2011-09-21,"Malaga",1,"Ath Bilbao",0
2011-09-21,"Santander",0,"Real Madrid",0
2011-09-21,"Valencia",2,"Barcelona",2
2011-09-21,"Vallecano",1,"Levante",2
2011-09-22,"Betis",4,"Zaragoza",3
2011-09-22,"Espanol",1,"Getafe",0
2011-09-24,"Ath Bilbao",1,"Villarreal",1
2011-09-24,"Barcelona",5,"Ath Madrid",0
2011-09-24,"Real Madrid",6,"Vallecano",2
2011-09-24,"Sevilla",1,"Valencia",0
2011-09-25,"Granada",1,"Osasuna",1
2011-09-25,"Levante",3,"Espanol",1
2011-09-25,"Mallorca",2,"Sociedad",1
2011-09-25,"Sp Gijon",0,"Santander",0
2011-09-25,"Zaragoza",0,"Malaga",0
2011-09-26,"Getafe",1,"Betis",0
2011-10-01,"Malaga",3,"Getafe",2
2011-10-01,"Osasuna",2,"Mallorca",2
2011-10-01,"Santander",1,"Vallecano",1
2011-10-01,"Valencia",1,"Granada",0
2011-10-01,"Villarreal",2,"Zaragoza",2
2011-10-02,"Ath Madrid",0,"Sevilla",0
2011-10-02,"Betis",0,"Levante",1
2011-10-02,"Espanol",0,"Real Madrid",4
2011-10-02,"Sociedad",1,"Ath Bilbao",2
2011-10-02,"Sp Gijon",0,"Barcelona",1
2011-10-15,"Barcelona",3,"Santander",0
2011-10-15,"Getafe",0,"Villarreal",0
2011-10-15,"Granada",0,"Ath Madrid",0
2011-10-15,"Mallorca",1,"Valencia",1
2011-10-15,"Real Madrid",4,"Betis",1
2011-10-16,"Levante",3,"Malaga",0
2011-10-16,"Sevilla",2,"Sp Gijon",1
2011-10-16,"Vallecano",0,"Espanol",1
2011-10-16,"Zaragoza",2,"Sociedad",0
2011-10-17,"Ath Bilbao",3,"Osasuna",1
2011-10-22,"Barcelona",0,"Sevilla",0
2011-10-22,"Malaga",0,"Real Madrid",4
2011-10-22,"Santander",0,"Espanol",1
2011-10-22,"Sp Gijon",2,"Granada",0
2011-10-23,"Ath Madrid",1,"Mallorca",1
2011-10-23,"Betis",0,"Vallecano",2
2011-10-23,"Osasuna",3,"Zaragoza",0
2011-10-23,"Sociedad",0,"Getafe",0
2011-10-23,"Valencia",1,"Ath Bilbao",1
2011-10-23,"Villarreal",0,"Levante",3
2011-10-25,"Granada",0,"Barcelona",1
2011-10-25,"Sevilla",2,"Santander",2
2011-10-26,"Getafe",2,"Osasuna",2
2011-10-26,"Levante",3,"Sociedad",2
2011-10-26,"Mallorca",1,"Sp Gijon",2
2011-10-26,"Real Madrid",3,"Villarreal",0
2011-10-26,"Vallecano",2,"Malaga",0
2011-10-26,"Zaragoza",0,"Valencia",1
2011-10-27,"Ath Bilbao",3,"Ath Madrid",0
2011-10-27,"Espanol",1,"Betis",0
2011-10-29,"Barcelona",5,"Mallorca",0
2011-10-29,"Sociedad",0,"Real Madrid",1
2011-10-29,"Valencia",3,"Getafe",1
2011-10-29,"Villarreal",2,"Vallecano",0
2011-10-30,"Ath Madrid",3,"Zaragoza",1
2011-10-30,"Malaga",2,"Espanol",1
2011-10-30,"Osasuna",2,"Levante",0
2011-10-30,"Santander",1,"Betis",0
2011-10-30,"Sp Gijon",1,"Ath Bilbao",1
2011-10-31,"Sevilla",1,"Granada",2
2011-11-05,"Betis",0,"Malaga",0
2011-11-05,"Levante",0,"Valencia",2
2011-11-05,"Mallorca",0,"Sevilla",0
2011-11-06,"Ath Bilbao",2,"Barcelona",2
2011-11-06,"Espanol",0,"Villarreal",0
2011-11-06,"Getafe",3,"Ath Madrid",2
2011-11-06,"Granada",0,"Santander",0
2011-11-06,"Real Madrid",7,"Osasuna",1
2011-11-06,"Vallecano",4,"Sociedad",0
2011-11-06,"Zaragoza",2,"Sp Gijon",2
2011-11-19,"Barcelona",4,"Zaragoza",0
2011-11-19,"Valencia",2,"Real Madrid",3
2011-11-19,"Villarreal",1,"Betis",0
2011-11-20,"Ath Madrid",3,"Levante",2
2011-11-20,"Osasuna",0,"Vallecano",0
2011-11-20,"Sevilla",1,"Ath Bilbao",2
2011-11-20,"Sociedad",0,"Espanol",0
2011-11-20,"Sp Gijon",2,"Getafe",1
2011-11-21,"Santander",1,"Malaga",3
2011-11-26,"Getafe",1,"Barcelona",0
2011-11-26,"Real Madrid",4,"Ath Madrid",1
2011-11-26,"Vallecano",1,"Valencia",2
2011-11-27,"Ath Bilbao",0,"Granada",1
2011-11-27,"Betis",2,"Sociedad",3
2011-11-27,"Espanol",1,"Osasuna",2
2011-11-27,"Levante",4,"Sp Gijon",0
2011-11-27,"Mallorca",2,"Santander",1
2011-11-27,"Zaragoza",0,"Sevilla",1
2011-11-28,"Malaga",2,"Villarreal",1
2011-11-29,"Barcelona",4,"Vallecano",0
2011-12-03,"Barcelona",5,"Levante",0
2011-12-03,"Santander",1,"Villarreal",0
2011-12-03,"Sp Gijon",0,"Real Madrid",3
2011-12-03,"Valencia",2,"Espanol",1
2011-12-04,"Ath Madrid",3,"Vallecano",1
2011-12-04,"Granada",1,"Zaragoza",0
2011-12-04,"Mallorca",1,"Ath Bilbao",1
2011-12-04,"Osasuna",2,"Betis",1
2011-12-04,"Sociedad",3,"Malaga",2
2011-12-05,"Sevilla",3,"Getafe",0
2011-12-07,"Granada",2,"Mallorca",2
2011-12-10,"Betis",2,"Valencia",1
2011-12-10,"Levante",1,"Sevilla",0
2011-12-10,"Real Madrid",1,"Barcelona",3
2011-12-11,"Ath Bilbao",1,"Santander",1
2011-12-11,"Espanol",4,"Ath Madrid",2
2011-12-11,"Getafe",1,"Granada",0
2011-12-11,"Malaga",1,"Osasuna",1
2011-12-11,"Vallecano",1,"Sp Gijon",3
2011-12-11,"Villarreal",1,"Sociedad",1
2011-12-11,"Zaragoza",0,"Mallorca",1
2011-12-17,"Ath Bilbao",2,"Zaragoza",1
2011-12-17,"Mallorca",1,"Getafe",2
2011-12-17,"Sevilla",2,"Real Madrid",6
2011-12-17,"Sp Gijon",1,"Espanol",2
2011-12-18,"Ath Madrid",0,"Betis",2
2011-12-18,"Granada",2,"Levante",1
2011-12-18,"Osasuna",2,"Villarreal",1
2011-12-18,"Santander",0,"Sociedad",0
2011-12-18,"Valencia",2,"Malaga",0
2012-01-07,"Levante",0,"Mallorca",0
2012-01-07,"Malaga",0,"Ath Madrid",0
2012-01-07,"Real Madrid",5,"Granada",1
2012-01-07,"Santander",1,"Zaragoza",0
2012-01-07,"Sociedad",0,"Osasuna",0
2012-01-08,"Betis",2,"Sp Gijon",0
2012-01-08,"Espanol",1,"Barcelona",1
2012-01-08,"Getafe",0,"Ath Bilbao",0
2012-01-08,"Vallecano",2,"Sevilla",1
2012-01-08,"Villarreal",2,"Valencia",2
2012-01-14,"Granada",1,"Vallecano",2
2012-01-14,"Mallorca",1,"Real Madrid",2
2012-01-14,"Sevilla",0,"Espanol",0
2012-01-14,"Valencia",0,"Sociedad",1
2012-01-14,"Zaragoza",1,"Getafe",1
2012-01-15,"Ath Bilbao",3,"Levante",0
2012-01-15,"Ath Madrid",3,"Villarreal",0
2012-01-15,"Barcelona",4,"Betis",2
2012-01-15,"Osasuna",0,"Santander",2
2012-01-15,"Sp Gijon",2,"Malaga",1
2012-01-21,"Betis",1,"Sevilla",1
2012-01-21,"Espanol",3,"Granada",0
